Ref_ID,old_Encapsulation_stack_sequence,old_Encapsulation_edge_sealing_materials,new_Encapsulation_stack_sequence,new_Encapsulation_edge_sealing_materials,Ref_DOI_number
24021,Unknown,Unknown,SLG,epoxy,10.1002/ente.201500045
36408,Unknown,Unknown,SLG,epoxy,10.1002/aenm.201702287
36413,Unknown,Unknown,SLG,epoxy,10.1002/aenm.201702287
5855,SLG,Unknown,SLG,Butyl rubber sealant,10.1038/s41563-018-0115-4
10505,Unknown,Unknown,SLG,UV-curable epoxy,10.1021/acsenergylett.9b00403
20875,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20876,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20878,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20879,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20880,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20881,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20882,Unknown,Unknown,cover glass,UV-cured sealant,10.1002/adma.201603808
20884,Unknown,Unknown,polyethylene,Unkown,10.1038/s41598-018-25449-x
20885,Unknown,Unknown,polyethylene,Unkown,10.1038/s41598-018-25449-x
21223,Unknown,Unknown,face-sealing adhesive sheets,Unknown,10.1002/advs.201900528
10737,Epoxy,Unknown,Cover glass,Epoxy,10.1007/s10854-019-01292-2
10738,Epoxy,Unknown,Cover glass,Epoxy,10.1007/s10854-019-01292-2
10739,Epoxy,Unknown,Cover glass,Epoxy,10.1007/s10854-019-01292-2
4608,UV-curable epoxy,Unknown,Cover glass,UV-curable epoxy,10.1126/science.aav7911
8147,UV-glue (3035B ThreeBond Holdings),UV-glue (3035B ThreeBond Holdings),Cover glass,UV-glue (3035B ThreeBond Holdings),10.1002/cssc.201600933
22435,UV-curable epoxy,Unknown,Cover glass,UV-curable epoxy,10.1016/j.jpowsour.2017.08.056
29204, UV-curable epoxy,Unknown,Cover glass,UV-curable epoxy,10.1039/c7ta02556d
29205, UV-curable epoxy,Unknown,Cover glass,UV-curable epoxy,10.1039/c7ta02556d
29382, UV-curable epoxy,Unknown,Cover glass,UV-curable epoxy,10.1002/adfm.201905163
31396,UV-glue,Unknown,Cover glass,UV-glue,10.1021/acs.jpcc.6b09412
31397,UV-glue,Unknown,Cover glass,UV-glue,10.1021/acs.jpcc.6b09412
31398,UV-glue,Unknown,Cover glass,UV-glue,10.1021/acs.jpcc.6b09412
31399,UV-glue,Unknown,Cover glass,UV-glue,10.1021/acs.jpcc.6b09412
31594,UV-glue (3035B ThreeBond Holdings),Unknown,Glass plate,UV-glue (3035B ThreeBond Holdings),10.1039/c6cp03388a
31596,UV-glue (3035B ThreeBond Holdings),Unknown,Glass plate,UV-glue (3035B ThreeBond Holdings),10.1039/c6cp03388a
34378,UV-curable epoxy,Unknown,viewbarrier,UV-curable epoxy,10.1039/c7tc03733c
34379,UV-curable epoxy,Unknown,viewbarrier,UV-curable epoxy,10.1039/c7tc03733c
39380,UV-glue (ThreeBond),UV-glue (ThreeBond),Cover glass,UV-glue (ThreeBond),10.1002/ente.202000513
33989,Self-mixing epoxy,Unknown,cover glass,Self-mixing epoxy,10.1002/aenm.201700444
33991,Self-mixing epoxy,Unknown,cover glass,Self-mixing epoxy,10.1002/aenm.201700444
34028,Epoxy (3124L(MS) Three Bond),Unknown,concave glass,Epoxy (3124L(MS) Three Bond),10.1021/acsami.6b15673
34029,Epoxy (3124L(MS) Three Bond),Unknown,concave glass,Epoxy (3124L(MS) Three Bond),10.1021/acsami.6b15673
21674,SLG,Glue,SLG,Polymer PDMS glue,10.1002/adma.201604695
30734,UV-glue,Unknown,cover glass,UV-glue,10.1002/adma.201502610
30735,UV-glue,Unknown,cover glass,UV-glue,10.1002/adma.201502610
26626,UV-glue,Unknown,cover glass,UV-glue,10.1038/NENERGY.2016.148
22331,UV-curable epoxy,Unknown,cover glass,UV-curable epoxy,10.1016/j.nanoen.2016.07.033
22332,UV-curable epoxy,Unknown,cover glass,UV-curable epoxy,10.1016/j.nanoen.2016.07.033
22333,UV-curable epoxy,Unknown,cover glass,UV-curable epoxy,10.1016/j.nanoen.2016.07.033
32975,Epoxy,Unknown,cover glass,Epoxy,10.1021/acs.jpclett.8b02555
32976,Epoxy,Unknown,cover glass,Epoxy,10.1021/acs.jpclett.8b02555
32977,Epoxy,Unknown,cover glass,Epoxy,10.1021/acs.jpclett.8b02555
42384,Unknown,Unknown,SLG,UV-glue,10.1039/c9ta13528f
29937,Desiccant,UV-curable epoxy,SLG Desiccant,UV-curable epoxy,10.1557/adv.2016.285
29987,Unknown,Unknown,PMMA,Unknown,10.1039/c9ta01094g
29988,Unknown,Unknown,PMMA,Unknown,10.1039/c9ta01094g
29989,Unknown,Unknown,PMMA,Unknown,10.1039/c9ta01094g
31276,Unknown,Unknown,glass,uv glue,10.1038/s41467-018-05454-4
31277,Unknown,Unknown,glass,uv glue,10.1038/s41467-018-05454-4
33062,Unknown,Unknown,polyimide tape Glass UV Glue,Unknown,10.1016/j.cej.2019.122830
33064,Unknown,Unknown,polyimide tape Glass UV Glue,Unknown,10.1016/j.cej.2019.122830
3960,Polyisobutylene,Unknown,SLG,Polyisobutylene,10.1002/aenm.201901685
3962,Polyisobutylene,Unknown,SLG,Polyisobutylene,10.1002/aenm.201901685
7627,Polyisobutene,Unknown,SLG,Polyisobutene,10.1021/acsenergylett.7b00751
7629,Polyisobutene,Unknown,SLG,Polyisobutene,10.1021/acsenergylett.7b00751
9950,Polyisobutene,Unknown,SLG,Polyisobutene,10.1021/acsenergylett.9b00937
22240,Polyisobutene,Unknown,SLG,Polyisobutene,10.1039/c7ta11154a
22246,Polyisobutene,Unknown,SLG,Polyisobutene,10.1039/c7ta11154a
23982,Unknown,Unknown,Glass,UV-glue,10.1126/science.aad1015
23983,Unknown,Unknown,Glass,UV-glue,10.1126/science.aad1015
29281,Ethylene-vinyl acetate,Butyl rubber,Glass,Ethylene-vinyl acetate,10.1039/c7ee02185b
29282,Ethylene-vinyl acetate,Butyl rubber,Glass,Ethylene-vinyl acetate,10.1039/c7ee02185b
18433,Unknown,Unknown,Glass,hot-melting polymer,10.1038/nature1234
14736,Unknown,Unknown,Glass,UV-glue,10.1039/c9tc03877a
14737,Unknown,Unknown,Glass,UV-glue,10.1039/c9tc03877a
14738,Unknown,Unknown,Glass,UV-glue,10.1039/c9tc03877a
13685,Unknown,Unknown,Glass,epoxy,10.1002/ente.201700002
13686,Unknown,Unknown,Glass,epoxy,10.1002/ente.201700002
10723,Unknown,Unknown,Noa 65,Unknown,10.21272/jnep.8(4(1)).04004
10505,Unknown,Unknown,Glass,epoxy,10.1021/acsenergylett.9b00403
4947,Unknown,Unknown,plasma polymers,Unknown,10.1021/acsami.7b17824
3662,Unknown,Unknown,Glass,epoxy,10.1002/adfm.201808855
3664,Unknown,Unknown,Glass,epoxy,10.1002/adfm.201808855
3611,Unknown,Unknown,Glass,heat-melt polymer foil,10.1039/c7ta08947c
33814,Adhesive glue 3025 B (Three Bond Holding Co. Ltd),Unknown,Glass,Adhesive glue 3025 B (Three Bond Holding Co. Ltd),10.1002/ente.201800572
4748,UVCA (3035B) | Paraffin,Unknown,SLG,UVCA (3035B) | Paraffin,10.1002/aenm.201902472
4750,UVCA (3035B) | Paraffin,Unknown,SLG,UVCA (3035B) | Paraffin,10.1002/aenm.201902472
4752,UVCA (3035B) | Paraffin,Unknown,SLG,UVCA (3035B) | Paraffin,10.1002/aenm.201902472
4749,UVCA (3035B),Unknown,SLG,UVCA (3035B),10.1002/aenm.201902472
4751,UVCA (3035B),Unknown,SLG,UVCA (3035B),10.1002/aenm.201902472
4753,UVCA (3035B),Unknown,SLG,UVCA (3035B),10.1002/aenm.201902472
25569,Kapton tape | Glue,Threebond glue,Kapton tape | Glue|SLG,Threebond glue,10.1039/c7nr00784a
40383,Epoxy,Epoxy,epoxy-polymer,Unknown,10.1039/c6ta10605f
41746,Unknown,Unknown,UV cured epoxy-polymer,Unknown,10.1021/acs.jpcc.6b05667
41748,Unknown,Unknown,UV cured epoxy-polymer,Unknown,10.1021/acs.jpcc.6b05667
41750,Unknown,Unknown,UV cured epoxy-polymer,Unknown,10.1021/acs.jpcc.6b05667
31184,Epoxy,Unknown,Epoxy-polymer,Unknown,10.1039/c7ta07775k
37158,Epoxy,Unknown,Epoxy-polymer,Unknown,10.1126/sciadv.1501170
40913,UV Epoxy,Unknown,UV Epoxy-polymer,Unknown,10.1246/cl.160281
40914,UV Epoxy,Unknown,UV Epoxy-polymer,Unknown,10.1246/cl.160281
41680,UV curable resin,Unknown,UV curable resin-polymer,Unknown,10.1021/acsami.5b11286
41681,UV curable resin,Unknown,UV curable resin-polymer,Unknown,10.1021/acsami.5b11286
2855,SLG,Surlyn (Du Pont),SLG,Surlyn (Du Pont) epoxy glue,10.1038/ncomms15684
