,Foil,Polymer,Glass+UV_glue,Glass+epoxy,Glass+but_rubber,Glass+polymer,Al2O3
num of experimentsAll experiments,11,35,48,79,9,21,14
averageAll experiments,2.4414115442655455,2.415645510869944,2.338185866122235,2.3789388722238707,3.047831145667009,2.6382974575770652,3.1310262512894815
stdevAll experiments,1.0222669601591978,1.027347948829339,1.0559912629525918,0.9966229745429733,0.8039988191620737,1.0670477587748655,1.0569091254309373
num of experimentsAmbient experiments,10,30,44,70,4,15,11
averageAmbient experiments,2.5536832132001805,2.3054205483961017,2.3028102728819704,2.3875876406598207,3.0372892494576376,2.753648531072836,3.1481439424282627
stdevAmbient experiments,1.0054245409365086,1.0537286798635512,1.0816403778285002,0.978235092837735,0.39969913778433214,1.0837792050939867,1.1214282320382318
num of experimentsExperiments at 65 degrees,1,5,10,13,2,7,3
averageExperiments at 65 degrees,1.318694854919198,3.0769952857130027,2.3589263924404755,2.3483181603716314,3.73882390026899,2.119390825417235,3.0682613837806194
stdevExperiments at 65 degrees,0.0,0.4645009067224014,0.6576764874315992,1.0152184709409509,0.41291744719752077,1.057302611095993,0.7724724507499576
num of experimentsDark Open Circuit Experiments,8,25,23,39,8,12,13
averageDark Open Circuit Experiments,2.7272549544499847,2.295451583302621,2.5821346868120485,2.4019534904612008,3.0130717322414515,2.7786853117917665,3.127559712230543
stdevDark Open Circuit Experiments,0.48058861818194987,1.0209735324805689,0.8958343897444321,1.1714114240149902,0.8463698437861314,0.8973088327323135,1.0967297373181804
num of experimentsLight Experiments,3,10,25,40,1,9,1
averageLight Experiments,1.6791624504403746,2.7161303297882537,2.1137529510876063,2.3564996194424737,3.3259064530714695,2.4511136519574626,3.1760912590556813
stdevLight Experiments,1.5546576335297824,0.9806520105768065,1.1391170700289546,0.7891537973249622,0.0,1.2336308931557545,0.0
num of experimentsLight MPPT Experiments,2,2,4,12,0,1,1
averageLight MPPT Experiments,0.6498986154162972,1.4505880557544684,1.835623224791218,2.5743228110357355,,2.6989700043360187,3.1760912590556813
stdevLight MPPT Experiments,0.6687962395029008,0.3946271209568244,1.5537767296373095,0.5544806735674971,,0.0,0.0
